"filename", "language", "Markdown", "PHP", "JSON", "JavaScript", "XML", "CSS", "C++", "comment", "blank", "total"
"c:\xampp\htdocs\.prettierrc", "JSON", 0, 0, 16, 0, 0, 0, 0, 5, 0, 21
"c:\xampp\htdocs\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\arduino\runner\runner.ino", "C++", 0, 0, 0, 0, 0, 0, 61, 5, 22, 88
"c:\xampp\htdocs\index.php", "PHP", 0, 240, 0, 0, 0, 0, 0, 0, 21, 261
"c:\xampp\htdocs\service-worker.js", "JavaScript", 0, 0, 0, 65, 0, 0, 0, 2, 5, 72
"c:\xampp\htdocs\site.webmanifest", "JSON", 0, 0, 56, 0, 0, 0, 0, 0, 1, 57
"c:\xampp\htdocs\src\css\style.css", "CSS", 0, 0, 0, 0, 0, 133, 0, 5, 28, 166
"c:\xampp\htdocs\src\images\favicons\browserconfig.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\xampp\htdocs\src\images\favicons\safari-pinned-tab.svg", "XML", 0, 0, 0, 0, 38, 0, 0, 0, 1, 39
"c:\xampp\htdocs\src\js\aframe.js", "JavaScript", 0, 0, 0, 493, 0, 0, 0, 343, 255, 1091
"c:\xampp\htdocs\src\js\chapters\confrontation.js", "JavaScript", 0, 0, 0, 275, 0, 0, 0, 51, 74, 400
"c:\xampp\htdocs\src\js\chapters\environment.js", "JavaScript", 0, 0, 0, 57, 0, 0, 0, 18, 16, 91
"c:\xampp\htdocs\src\js\chapters\introduction.js", "JavaScript", 0, 0, 0, 86, 0, 0, 0, 1, 13, 100
"c:\xampp\htdocs\src\js\chapters\relieve.js", "JavaScript", 0, 0, 0, 123, 0, 0, 0, 20, 26, 169
"c:\xampp\htdocs\src\js\components\animation-timeline.js", "JavaScript", 0, 0, 0, 175, 0, 0, 0, 0, 1, 176
"c:\xampp\htdocs\src\js\components\low-poly.js", "JavaScript", 0, 0, 0, 213, 0, 0, 0, 0, 1, 214
"c:\xampp\htdocs\src\js\components\ocean.js", "JavaScript", 0, 0, 0, 76, 0, 0, 0, 14, 16, 106
"c:\xampp\htdocs\src\js\game.js", "JavaScript", 0, 0, 0, 324, 0, 0, 0, 20, 94, 438
"c:\xampp\htdocs\src\js\hardware\bluetooth.js", "JavaScript", 0, 0, 0, 167, 0, 0, 0, 24, 46, 237
"c:\xampp\htdocs\src\js\hardware\sensorConfiguration.js", "JavaScript", 0, 0, 0, 144, 0, 0, 0, 6, 38, 188
"c:\xampp\htdocs\src\js\models\breathState.js", "JavaScript", 0, 0, 0, 68, 0, 0, 0, 5, 14, 87
"c:\xampp\htdocs\src\js\ui.js", "JavaScript", 0, 0, 0, 157, 0, 0, 0, 12, 36, 205
"c:\xampp\htdocs\src\php\footer.php", "PHP", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\xampp\htdocs\src\php\header.php", "PHP", 0, 45, 0, 0, 0, 0, 0, 0, 5, 50
"c:\xampp\htdocs\src\php\scene\ocean.php", "PHP", 0, 142, 0, 0, 0, 0, 0, 0, 8, 150
"c:\xampp\htdocs\src\php\wearableConfiguration.php", "PHP", 0, 47, 0, 0, 0, 0, 0, 0, 10, 57
"Total", "-", 1, 476, 72, 2423, 47, 133, 61, 531, 734, 4478
