"filename", "language", "JavaScript", "JSON", "PHP", "CSS", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\index.php", "PHP", 0, 0, 15, 0, 0, 0, 3, 18
"c:\xampp\htdocs\service-worker.js", "JavaScript", 1, 0, 0, 0, 0, -1, 4, 4
"c:\xampp\htdocs\site.webmanifest", "JSON", 0, -34, 0, 0, 0, 0, 0, -34
"c:\xampp\htdocs\src\css\style.css", "CSS", 0, 0, 0, 17, 0, 0, 3, 20
"c:\xampp\htdocs\src\images\favicons\safari-pinned-tab.svg", "XML", 0, 0, 0, 0, 12, 0, 0, 12
"c:\xampp\htdocs\src\images\favicons\site.webmanifest", "JSON", 0, 19, 0, 0, 0, 0, 1, 20
"c:\xampp\htdocs\src\js\chapters\confrontation.js", "JavaScript", 34, 0, 0, 0, 0, 3, 9, 46
"c:\xampp\htdocs\src\js\chapters\introduction.js", "JavaScript", 15, 0, 0, 0, 0, 0, 3, 18
"c:\xampp\htdocs\src\js\chapters\relieve.js", "JavaScript", 26, 0, 0, 0, 0, 0, 5, 31
"c:\xampp\htdocs\src\js\components\animation-mixer.js", "JavaScript", 110, 0, 0, 0, 0, 19, 21, 150
"c:\xampp\htdocs\src\js\components\physics.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\src\js\environment.js", "JavaScript", -5, 0, 0, 0, 0, 0, 0, -5
"c:\xampp\htdocs\src\js\game.js", "JavaScript", 28, 0, 0, 0, 0, 0, 4, 32
"c:\xampp\htdocs\src\js\progress.js", "JavaScript", 14, 0, 0, 0, 0, -1, 3, 16
"c:\xampp\htdocs\src\php\header.php", "PHP", 0, 0, 2, 0, 0, 0, 1, 3
"c:\xampp\htdocs\src\php\wearableConfiguration.php", "PHP", 0, 0, 3, 0, 0, 0, 1, 4
"Total", "-", 224, -15, 20, 17, 12, 20, 58, 336
